"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"서울특별시 강북구 우이동(1130564500)","49.1","51.3"
"서울특별시 강북구 인수동(1130566000)","48.7","51.6"
"서울특별시 도봉구 (1132000000)","47.4","49.7"
"서울특별시 도봉구 창제1동(1132051100)","46","48.7"
"서울특별시 도봉구 창제2동(1132051200)","46.6","48.7"
"서울특별시 도봉구 창제3동(1132051300)","48.5","51.3"
"서울특별시 도봉구 창제4동(1132051400)","45","46.7"
"서울특별시 도봉구 창제5동(1132051500)","46.3","48.1"
"서울특별시 도봉구 도봉제1동(1132052100)","51.9","54.5"
"서울특별시 도봉구 도봉제2동(1132052200)","49","51.4"
"서울특별시 도봉구 쌍문제1동(1132066000)","48.3","49.5"
"서울특별시 도봉구 쌍문제2동(1132067000)","47.3","50.9"
"서울특별시 도봉구 쌍문제3동(1132068000)","47.4","49.1"
"서울특별시 도봉구 쌍문제4동(1132068100)","45.1","47.8"
"서울특별시 도봉구 방학제1동(1132069000)","48.2","49.7"
"서울특별시 도봉구 방학제2동(1132070000)","49.8","52.4"
"서울특별시 도봉구 방학제3동(1132071000)","45.6","49.4"
"서울특별시 노원구 (1135000000)","44.4","47.2"
"서울특별시 노원구 월계1동(1135056000)","44.7","48.2"
"서울특별시 노원구 월계2동(1135057000)","47.4","50.5"
"서울특별시 노원구 월계3동(1135058000)","46.1","49.2"
"서울특별시 노원구 공릉1동(1135059500)","44.8","46.6"
"서울특별시 노원구 공릉2동(1135060000)","41.6","43.1"
"서울특별시 노원구 하계1동(1135061100)","43","47.5"
"서울특별시 노원구 하계2동(1135061200)","42.8","45.5"
"서울특별시 노원구 중계본동(1135061900)","40.7","42.3"
"서울특별시 노원구 중계1동(1135062100)","38.9","41.3"
"서울특별시 노원구 중계4동(1135062400)","46","49.5"
"서울특별시 노원구 중계2.3동(1135062500)","46.6","50.7"
"서울특별시 노원구 상계1동(1135063000)","46.8","48.9"
"서울특별시 노원구 상계2동(1135064000)","46.7","48.1"
"서울특별시 노원구 상계3.4동(1135066500)","47.4","50.4"
"서울특별시 노원구 상계5동(1135067000)","48","51.4"
"서울특별시 노원구 상계6.7동(1135069500)","43.5","46.5"
"서울특별시 노원구 상계8동(1135070000)","40.8","43.4"
"서울특별시 노원구 상계9동(1135071000)","44.8","47.9"
"서울특별시 노원구 상계10동(1135072000)","43.3","45.8"
"서울특별시 은평구 (1138000000)","45.5","47.5"
"서울특별시 은평구 녹번동(1138051000)","46.2","48.2"
"서울특별시 은평구 불광제1동(1138052000)","46.6","49"
"서울특별시 은평구 불광제2동(1138053000)","48.2","50.5"
"서울특별시 은평구 갈현제1동(1138055100)","46.7","49.4"
"서울특별시 은평구 갈현제2동(1138055200)","46.2","48.2"
"서울특별시 은평구 구산동(1138056000)","47.4","48.4"
